平成27年都道府県別年齢調整死亡率,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"第 2- 30表　都道府県別年齢調整死亡率（人口10万対）,くも膜下出血・男女・年次別（昭和35・40・45・50・55・60・平成２・７・12・17・22・27年）",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
注：くも膜下出血については、昭和45年以降計上した。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
都道府県,男,,,,,,,,,,女,,,,,,,,,,
,昭和45,50,55,60,平成２,7,12,17,22,27,昭和45,50,55,60,平成２,7,12,17,22,27,
,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
くも膜下出血,,,,,,,,,,,,,,,,,,,,,
全　　国,7.1,7.3,7.4,7.5,7.8,7.9,7.1,6.7,5.7,4.7,6.1,6.9,7.7,9.1,9.4,9.6,8.4,7.2,5.7,4.8,
01　北海道,8.4,9.1,8.1,8.1,7.5,8.8,9.1,9,6.4,4.5,8.4,8.2,9,11.1,8.5,9.8,9.1,7.8,5.8,5.4,
02　青　森,8.9,7.1,9.6,8,8.3,9.7,9.4,8.8,7.1,5.7,7.2,8.5,5.9,9.5,9.4,9.9,8.4,9.5,8.1,6.6,
03　岩　手,9.9,11.1,11.6,11.6,10.2,9,8.8,8.6,8.1,6,10,10.6,11.2,11.6,10.9,10.3,9.1,8.9,7.9,6.7,
04　宮　城,7.4,9.9,8.2,6.4,6.6,9.8,10.8,11.5,7.7,4.7,9.1,8.3,7.1,8.7,9.7,11.9,8.7,8.8,7,5.3,
05　秋　田,14.2,13.4,9.5,11.4,7.9,10.2,6.6,7.2,7.1,5.9,10.2,12,9.2,11.6,11.1,10,9.5,8,6,4.9,
06　山　形,10.5,8.9,12.8,10.3,8.6,9.3,7.5,8.6,5.5,5.1,8.5,9.3,9.9,9,10.9,9.7,10.4,6.8,7.9,6.6,
07　福　島,10,7.8,8.4,8.6,8.5,7.9,7.4,7.5,6.9,4.9,8.3,8,9,8.5,8.6,9.5,10.3,7.5,7.1,5.5,
08　茨　城,5.4,5.4,7.5,7.3,7.1,8.2,8,8,6.9,6.6,5.4,5.3,6.3,7.8,9.2,10,9.7,8.2,6,5.1,
09　栃　木,10.4,9.1,9.8,10.6,10.8,10.9,9.9,10,8.4,7.2,10,8.1,8.9,13.3,12.7,11.8,10.5,9.9,8.9,6.9,
10　群　馬,9.6,8.2,9.1,9.2,8.7,9.3,7.3,6.8,5.2,4.2,9,8.2,8.6,10.2,10.9,12.3,10.2,8.3,6.2,5.3,
11　埼　玉,8.4,6.6,7.6,7.8,7.4,9,7.6,6.8,6.9,4.8,6.5,7.2,8,8.5,10.4,11.7,9.9,7.4,6.5,4.5,
12　千　葉,6.4,7,6.9,6.4,8,8.8,7.5,6.9,5.1,4.9,5.5,6.4,6.7,7.4,8,9.7,8,7.1,5.8,5.1,
13　東　京,8,8.3,8.4,9.1,9.4,8.9,8.2,7.2,5.9,4.4,8.5,9.1,9.7,11.7,11.5,11.2,9.4,8,5.3,4.8,
14　神奈川,6.2,6.4,8.5,8.3,8.5,8,7,6.2,4.8,4.4,6.2,8.2,9.3,12.1,10.6,10.5,10.3,6.9,5.2,4.3,
15　新　潟,10.1,11.6,9.3,7.8,8.8,8.7,7.6,8.3,6.1,5.8,8.9,8.1,8.1,8.3,9.1,9.4,6.8,5.6,5.8,6,
16　富　山,7.5,8.1,8.3,7.6,10.2,7.1,5.5,5.2,6.3,5.9,5.5,6.1,9.1,7.6,8.3,8.8,9.9,6.7,5.8,6,
17　石　川,8,4,9,6.9,7,7.7,6.5,5.6,5.7,3.3,3.1,5.8,7,6.6,6.9,9.5,7,8.5,6,4.5,
18　福　井,4.8,4.3,5.6,6.8,4.2,7.2,4.4,5.7,4.7,4.7,4.3,5.6,5.6,6.5,8.5,8.3,5.9,7.8,5.6,4.9,
19　山　梨,7.4,10,7.3,7.5,4.9,7.5,5.1,6,5.6,5.9,4.9,7.9,8.7,6.3,5.7,8,7.2,6.3,6.3,6.6,
20　長　野,10.2,9.2,10.6,9.3,9.1,9,8.5,6.7,6.4,5.2,6.9,8.4,10.5,10.9,12,9.4,7.8,7.9,6.9,4.1,
21　岐　阜,6.6,6.1,7.2,7.6,6.8,9.2,6.5,5.3,4,5.9,5.8,6.9,7.7,8.9,10,11.4,8,8,5.7,4.8,
22　静　岡,5.5,7.3,8.2,8.3,7.8,7.3,7.4,6.8,5.7,5.5,6.1,7.3,7.4,9.3,10.6,9.1,8.1,8.4,6.1,5.3,
23　愛　知,3.9,5.1,5,6.4,7.3,6.8,7,6.4,5.1,4.5,4.8,5.2,7.2,8.3,9.1,9.2,8.6,7,5.8,4.8,
24　三　重,7,6.5,5.2,4.8,6.7,4.9,4.6,4.4,4.5,4.9,4.2,5.5,5.5,8.9,6.9,7.8,5.8,6.4,5,4.9,
25　滋　賀,5.6,6.7,8.4,6.6,5.4,7.9,9.8,6.3,7.5,4.6,4.7,5.8,5.7,6.1,6.1,8.6,8.2,8.3,5.8,4.6,
26　京　都,4.8,7.2,5.7,6.3,7.1,8.8,6.4,5.8,4.6,4.6,5.2,4.3,7.2,8.6,7.5,9.7,7.5,5.8,4.1,3.5,
27　大　阪,4.6,6,6,7.8,7.4,6,5.3,5.3,4.6,3.9,3.9,4.9,7.9,9.8,8.7,9.3,6.8,5.6,4.3,3.6,
28　兵　庫,5.7,6.6,6.8,5.6,6.7,7.1,5.7,5.2,4.6,5,4.6,5.2,7.2,7.9,8.3,7.9,6.5,5.7,4.5,4.3,
29　奈　良,3.5,4.4,4.2,5.8,5.5,6,4.7,4.8,4,2.9,5.2,5.2,4.6,8.1,7.5,6.8,6.5,5,3.5,3.1,
30　和歌山,4.2,3.5,5.1,5.3,5.5,6,4.8,4.6,3.9,2.3,4.4,5.2,5.6,5.8,6.6,4.9,6,6.2,5.5,4.3,
31　鳥　取,8.9,8.5,8,7.6,8.3,11.2,6,5.4,6.7,6.5,7.8,7.8,8.3,7.2,8.2,12.3,9,9.2,5.5,4.8,
32　島　根,9.5,7.3,10.5,8.5,7.3,7.5,8.2,4.4,4.7,6.4,6.6,9.3,9.8,7.5,9.4,7,7.4,7.3,5.1,3.6,
33　岡　山,7.6,8,6.4,6.3,6.4,5.5,7.2,7.8,6.5,4.6,4.8,6.2,6.7,5.9,7.3,7.1,8.9,7,6.1,4.6,
34　広　島,7.6,8.5,4.9,8.2,7.5,7.9,6.1,5.9,5.2,3.3,4.6,6.7,6.5,8.3,10.2,9.9,6.8,6,4.5,4,
35　山　口,8.5,10.3,8,7.2,5.6,8.3,6.3,5.5,5.1,3.7,7.5,7.4,6.9,8.7,7.5,9.9,8.8,6.6,5,4.5,
36　徳　島,3,4.4,5.6,6,7.3,7.8,6.4,6.3,5.8,6.4,4,4.2,7.1,5.7,8.4,5.3,5.9,8.1,4.2,3.4,
37　香　川,2.9,4.4,5,2.8,7.3,6.5,5.4,4.5,3.5,4.3,3.3,4.4,5.3,5.3,5.3,5.5,6.7,6.2,4.2,3.2,
38　愛　媛,7,4.4,5.2,4.8,6.3,4.6,4,5,4.8,3.2,3.9,5.6,4,8.5,7.2,6.2,7,4,4.9,4.1,
39　高　知,4.8,5,7.2,5.5,6.5,5.3,5.4,8.1,7.3,3.7,6.1,5.8,7.4,10.3,9,8.3,9.9,7,6.2,5.7,
40　福　岡,7.1,7.4,6.9,7,8.9,6.5,6.5,5.2,5.2,4.2,4.1,5.7,7.3,8.8,10,9.1,8.5,6.6,6.1,4,
41　佐　賀,5.9,5.4,6.4,4.6,8.6,5.8,4.3,7,4.6,5.1,4.2,6.9,6,8.5,9.4,9.2,8.1,6.7,5.9,5,
42　長　崎,6.3,5.3,5.2,4.1,5.3,5.3,6.9,6.4,5.4,4.8,3.2,5.3,4.5,6.9,7.3,8.2,9.2,7,5.4,4.7,
43　熊　本,6.5,6.9,5.8,5,7.1,6.5,8.9,8.9,6.8,4,4.9,5.9,7.5,7.8,10.1,9.2,8,8.3,6.1,5.5,
44　大　分,7.5,7.6,5.5,5.5,5.9,7,5.7,7.8,6.7,5,7.9,6.9,6,8.8,9.1,7.5,7.6,8.3,6.4,4.6,
45　宮　崎,5.4,7,6.9,7.6,11.1,7.8,7,6.8,5.4,4.7,4.5,6.2,6.2,8.2,11,10.8,10.1,7.5,8,7.1,
46　鹿児島,5.9,7.2,8.8,9.3,10.2,9.7,8.8,5.9,7.3,5.4,4.9,6.5,7.5,9.7,12.3,11.6,10.1,8.2,7.3,6.1,
47　沖　縄,… ,5.1,4.6,4.7,5.6,6.7,5.7,5.4,4.5,3.7,… ,5.5,6.2,7.2,5.4,7.6,6.1,5.2,4.6,4.4,
21大都市（再掲）,,,,,,,,,,,,,,,,,,,,,
50　東京都区部,8.8,8.9,8.9,9.2,9.2,8.6,7.6,6.4,5.1,4.2,9.3,9.3,10.6,12.3,11.1,11.3,9.1,7.6,5.3,4.9,
51　札　幌,… ,12.4,9,9.2,7,10,10.6,10.7,5.6,3.1,… ,11.2,12,14.9,7.9,9.9,10.5,8,5.2,5.1,
52　仙　台,… ,… ,… ,… ,7,7,10,8.2,6.7,3.6,… ,… ,… ,… ,12,10.2,7.8,7.8,5.6,4.4,
53　さいたま,… ,… ,… ,… ,… ,… ,…,5.8,6.1,3.5,… ,… ,… ,… ,… ,… ,… ,6.2,6,4.2,
54　千　葉,… ,… ,… ,… ,… ,8,6.1,6.7,4,4.3,… ,… ,… ,… ,… ,8.2,6.3,7.7,4.5,6.2,
55　横　浜,6.1,6.3,7.5,7.2,9.3,7.4,6.1,5.2,4.3,3.7,7,8.5,7.8,11.4,10.7,10.1,9.2,6.1,4.1,4.3,
56　川　崎,… ,7,8.2,10.2,6.5,8.1,8.1,6.2,5.4,4.6,… ,12.3,9.4,14,12.1,12.4,10.6,4.8,4.3,3.7,
57　相模原,… ,… ,… ,… ,… ,… ,…,…,3.6,6.7,… ,… ,… ,… ,… ,… ,… ,… ,6.2,4.1,
58　新　潟,… ,… ,… ,… ,… ,… ,…,…,5.7,6.7,… ,… ,… ,… ,… ,… ,… ,… ,5.1,5.5,
59　静　岡,… ,… ,… ,… ,… ,… ,…,7.3,6.9,5.6,… ,… ,… ,… ,… ,… ,… ,7.4,5.3,6.1,
60　浜　松,… ,… ,… ,… ,… ,… ,…,…,5.2,5.7,… ,… ,… ,… ,… ,… ,… ,… ,6,4.3,
61　名古屋,5.3,5.1,5.1,6.3,7,8.4,8.1,5.6,4.7,3.9,5,4.5,7.9,9.5,8.8,9,9.1,6,5.1,5.1,
62　京　都,5.2,6.2,5.1,5.8,8.5,11.2,7,6.1,4.2,5.2,4.9,4,8,9,7.8,10.8,8,6.5,4.1,3.5,
63　大　阪,5.5,7.9,6.5,8.7,7.8,6.6,6.8,6,5.6,5.1,4.9,6.4,9.9,11.3,10.9,9.2,8.3,6,4.3,3.8,
64　  堺　　　,… ,… ,… ,… ,… ,… ,…,…,5.8,5.1,… ,… ,… ,… ,… ,… ,… ,… ,5.4,4.9,
65　神　戸,4.8,8.2,7.6,6.4,8.1,7.9,7,5.5,2.7,3.5,5.8,6.8,7.3,10,8.3,7.9,7.3,4.8,3.9,4.2,
66  岡　山,… ,… ,… ,… ,… ,… ,…,…,7.9,4.1,… ,… ,… ,… ,… ,… ,… ,… ,7,5.2,
67　広　島,… ,… ,… ,6.8,8,10.4,5.5,4.5,5.8,2.2,… ,… ,… ,9.2,11.4,9.8,7.4,6.8,3.6,3.6,
68　北九州,6.6,4.2,5.5,8.3,10.8,4.6,6.7,5.6,5.5,5.6,3.1,6.3,7.7,10.3,12.9,8.7,9.3,5.7,6.6,4.3,
69　福　岡,… ,9.6,6.9,8.1,7.1,7.4,5,3.9,4.7,4.3,… ,5.8,8.2,10.9,9.1,10.1,8.6,6.4,5.4,3.3,
70　熊　本,…,…,…,…,…,…,…,…,…,4.2,…,…,…,…,…,…,…,…,…,4.7,
